Date, Open, High, Low, Close
04/22/22, 334.3100, 335.5600, 324.9600, 325.4000
04/21/22, 345.1900, 347.8700, 333.2000, 334.1500
04/20/22, 347.0900, 347.5600, 339.9600, 341.2100
04/19/22, 338.0300, 346.8500, 336.9800, 346.2600
04/18/22, 337.3500, 341.0400, 335.7910, 338.6900
04/14/22, 346.4400, 346.9700, 338.2100, 338.4300
04/13/22, 339.8000, 347.4300, 339.0600, 346.3500
04/12/22, 345.7600, 347.6900, 338.0350, 339.4500
04/11/22, 344.8100, 345.7500, 340.5350, 340.8900
04/08/22, 352.3200, 353.0900, 348.5000, 349.1500
04/07/22, 352.2400, 356.3500, 348.6900, 354.1000
04/06/22, 355.6500, 356.7800, 350.5600, 353.2600
04/05/22, 367.8100, 368.5400, 359.9300, 361.1000
04/04/22, 362.7100, 369.3100, 362.4400, 369.3000
04/01/22, 362.8100, 363.6100, 358.5900, 361.8500
03/31/22, 367.2400, 367.6000, 361.6800, 362.5400
03/30/22, 369.2750, 370.9800, 365.5700, 367.0900
03/29/22, 368.9000, 371.8300, 366.0600, 371.1900
03/28/22, 359.3400, 365.0100, 358.0700, 364.9100
03/25/22, 359.5900, 360.6700, 354.9438, 359.3500
03/24/22, 353.8000, 359.7000, 351.5939, 359.6500
03/23/22, 354.0100, 357.6600, 351.7700, 351.8300
03/22/22, 350.5900, 357.8500, 350.2000, 356.9600
03/21/22, 350.2000, 352.4800, 345.5750, 350.0800
03/18/22, 342.7400, 351.7900, 341.5500, 351.4900
03/17/22, 338.3700, 344.5000, 337.0406, 344.4400
03/16/22, 332.1700, 340.4400, 328.4010, 340.3200
03/15/22, 320.8800, 328.9500, 319.2300, 328.1500
03/14/22, 323.1300, 326.5900, 317.4500, 318.1700
03/11/22, 334.3200, 334.6400, 323.9000, 324.4000
03/10/22, 330.8200, 332.5100, 326.7100, 331.2700
03/09/22, 331.7500, 336.3800, 329.0900, 334.9900
03/08/22, 324.0500, 333.2100, 319.9400, 323.3500
03/07/22, 337.2900, 338.4800, 324.6500, 324.8600
03/04/22, 339.8400, 341.3100, 334.9200, 337.3000
03/03/22, 349.9300, 350.0400, 340.3500, 342.2600
03/02/22, 343.0800, 348.5900, 340.2400, 347.2200
03/01/22, 345.7500, 348.0780, 338.9000, 341.4900
02/28/22, 342.5100, 348.5400, 341.3200, 346.8000
02/25/22, 341.3100, 345.9800, 337.3900, 345.7700
02/24/22, 318.8400, 341.0400, 318.2600, 340.4900
02/23/22, 341.3200, 342.1830, 329.1000, 329.4200
02/22/22, 338.4900, 344.0400, 334.3500, 338.0800
02/18/22, 346.4100, 346.8100, 339.1400, 341.5100
02/17/22, 352.7400, 353.4600, 345.0200, 345.4500
02/16/22, 353.8200, 357.0896, 350.7100, 356.0400
02/15/22, 352.9100, 356.3700, 351.8200, 356.1300
02/14/22, 346.4900, 350.9800, 343.8900, 347.4900
02/11/22, 358.4300, 360.0700, 345.8000, 347.0600
02/10/22, 359.5200, 366.4885, 356.5400, 358.4300
02/09/22, 363.7600, 366.8100, 362.1200, 366.7300
02/08/22, 353.9600, 360.2400, 352.8000, 359.1200
02/07/22, 358.6200, 361.0500, 353.8400, 355.1300
02/04/22, 354.0800, 361.4000, 351.9700, 358.0100
02/03/22, 358.5300, 361.9300, 352.4600, 353.5500
02/02/22, 369.7600, 370.1000, 364.2850, 368.4900
02/01/22, 364.4300, 366.1900, 359.1400, 365.5200
01/31/22, 353.2000, 363.6500, 351.5200, 363.0500
01/28/22, 343.0300, 352.0200, 337.9500, 351.8000
01/27/22, 349.4000, 351.2700, 340.0500, 341.1000
01/26/22, 352.9100, 356.8800, 340.7800, 344.5700
01/25/22, 346.6700, 351.0295, 341.6800, 345.1100
01/24/22, 345.9050, 353.9800, 334.1500, 353.3000
01/21/22, 359.4700, 362.1800, 351.4000, 351.6900
01/20/22, 369.7900, 373.8700, 361.1700, 361.7200
01/19/22, 372.1500, 374.6900, 366.2100, 366.4800
01/18/22, 374.0400, 376.2200, 369.7704, 370.5500
01/14/22, 375.0700, 380.3500, 374.8600, 380.0100
01/13/22, 388.7700, 389.4700, 376.7000, 377.6600
01/12/22, 388.4600, 390.2000, 385.0100, 387.3500
01/11/22, 379.3550, 385.9899, 377.2182, 385.8200
01/10/22, 374.8200, 380.6400, 369.3100, 380.1100
01/07/22, 384.0300, 385.7600, 378.0400, 379.8600
01/06/22, 382.4200, 387.3500, 380.1300, 384.0200
01/05/22, 394.7400, 395.8900, 384.0300, 384.2900
01/04/22, 402.2400, 402.2800, 393.2880, 396.4700
01/03/22, 399.0500, 401.9400, 396.8800, 401.6800
12/31/21, 399.6600, 401.0589, 397.3400, 397.8500
12/30/21, 401.3300, 403.5699, 399.7500, 400.3500
12/29/21, 401.7500, 403.0500, 399.1100, 401.5500
12/28/21, 404.4000, 404.5800, 400.7100, 401.6100
12/27/21, 398.2500, 403.4800, 398.2194, 403.4800
12/23/21, 394.3100, 398.4250, 394.1400, 396.9200
12/22/21, 388.9100, 394.1600, 388.2300, 393.9500
12/21/21, 384.0500, 389.5300, 380.2010, 389.2100
12/20/21, 379.5650, 381.5000, 377.4700, 380.6900
12/17/21, 383.3300, 389.1900, 381.7700, 384.9100
12/16/21, 398.0400, 398.4750, 385.2100, 386.8400
12/15/21, 387.9400, 397.4198, 383.8800, 397.0500
12/14/21, 387.3000, 390.0900, 383.6300, 388.2000
12/13/21, 398.0000, 398.3250, 391.8800, 392.2600
12/10/21, 396.6200, 398.2800, 393.3600, 398.0100
12/09/21, 398.3500, 400.2000, 393.5299, 393.7300
12/08/21, 398.1700, 399.8200, 396.2200, 399.6100
12/07/21, 393.0300, 398.4600, 392.9900, 397.8300
12/06/21, 383.6300, 387.6000, 379.3000, 386.2000
12/03/21, 391.3100, 392.3400, 378.9000, 383.1300
12/02/21, 385.8000, 391.7400, 384.3400, 389.9100
12/01/21, 398.2800, 400.4800, 386.6400, 387.1200
11/30/21, 398.7800, 401.1900, 391.7500, 393.8200
11/29/21, 395.8900, 400.7300, 395.1400, 399.6900
11/26/21, 396.1100, 397.5400, 389.7700, 391.2000
11/24/21, 394.9300, 399.0500, 392.5400, 398.7600
11/23/21, 398.1100, 400.2300, 392.9200, 397.4800
11/22/21, 405.5700, 408.7100, 399.1900, 399.3000
11/19/21, 403.4300, 405.3000, 402.5800, 403.9900
11/18/21, 399.7300, 402.2700, 397.4500, 401.7500
11/17/21, 397.7500, 399.7196, 396.6400, 397.6300
11/16/21, 393.8600, 397.9300, 393.6600, 397.4200
11/15/21, 395.9100, 396.2400, 392.0950, 394.6100
11/12/21, 391.7700, 395.2500, 390.1300, 394.7000
11/11/21, 392.5700, 392.7500, 390.2400, 390.5900
11/10/21, 392.4700, 395.3600, 387.5300, 389.5100
11/09/21, 399.1600, 399.5700, 393.9200, 395.3200
11/08/21, 398.5700, 399.6200, 397.4000, 398.0600
11/05/21, 400.0400, 400.9900, 397.1600, 398.6000
11/04/21, 394.4800, 399.2000, 393.9200, 398.2200
11/03/21, 389.5500, 393.6100, 388.4800, 393.1800
11/02/21, 386.8000, 389.5400, 386.7500, 389.0500
11/01/21, 386.5600, 387.5600, 384.4200, 387.4300
10/29/21, 381.0600, 386.2800, 380.7000, 386.1100
10/28/21, 381.9500, 384.4800, 381.1550, 384.2200
10/27/21, 379.5800, 383.1500, 379.3100, 380.0000
10/26/21, 380.2300, 382.7100, 377.9050, 379.1200
10/25/21, 375.5600, 378.8700, 373.5600, 377.9300
10/22/21, 375.9800, 376.9700, 372.3850, 374.1000
10/21/21, 374.1600, 377.4700, 373.8500, 377.2700
